年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,05,19-64,新竹市,230
2007,05,19-64,新竹縣,68
2007,05,19-64,花蓮縣,32
2007,05,19-64,苗栗縣,61
2007,05,19-64,高雄市,562
2007,05,19-64,台北市,694
2007,05,19-64,台中市,537
2007,05,19-64,台南市,130
2007,05,19-64,台東縣,18
2007,05,19-64,雲林縣,55
2007,05,19-64,基隆市,47
2007,05,65+,嘉義市,5
2007,05,65+,嘉義縣,5
2007,05,65+,桃園市,38
2007,05,65+,屏東縣,24
2007,05,65+,南投縣,21
2007,05,65+,彰化縣,6
2007,05,65+,宜蘭縣,16
2007,05,65+,新北市,72
2007,05,65+,新竹市,21
2007,05,65+,新竹縣,20
2007,05,65+,花蓮縣,4
2007,05,65+,苗栗縣,22
2007,05,65+,高雄市,72
2007,05,65+,台北市,117
2007,05,65+,台中市,89
2007,05,65+,台南市,29
2007,05,65+,台東縣,2
2007,05,65+,雲林縣,11
2007,05,65+,基隆市,7
2007,05,7-12,嘉義市,9
2007,05,7-12,嘉義縣,4
2007,05,7-12,桃園市,28
2007,05,7-12,屏東縣,7
2007,05,7-12,南投縣,6
2007,05,7-12,彰化縣,2
2007,05,7-12,宜蘭縣,5
2007,05,7-12,新北市,44
2007,05,7-12,新竹市,18
2007,05,7-12,新竹縣,8
2007,05,7-12,花蓮縣,2
2007,05,7-12,苗栗縣,7
2007,05,7-12,高雄市,68
2007,05,7-12,台北市,77
2007,05,7-12,台中市,52
2007,05,7-12,台南市,12
2007,05,7-12,台東縣,2
2007,05,7-12,雲林縣,5
2007,05,7-12,基隆市,6
2007,06,0-6,嘉義市,16
2007,06,0-6,嘉義縣,9
2007,06,0-6,桃園市,121
2007,06,0-6,屏東縣,56
2007,06,0-6,南投縣,25
2007,06,0-6,彰化縣,5
2007,06,0-6,宜蘭縣,16
2007,06,0-6,新北市,164
2007,06,0-6,新竹市,109
2007,06,0-6,新竹縣,21
2007,06,0-6,花蓮縣,3
2007,06,0-6,苗栗縣,22
2007,06,0-6,高雄市,272
2007,06,0-6,台北市,289
2007,06,0-6,台中市,174
2007,06,0-6,台南市,25
2007,06,0-6,台東縣,14
2007,06,0-6,雲林縣,30
2007,06,0-6,基隆市,12
2007,06,13-18,嘉義市,2
2007,06,13-18,嘉義縣,3
2007,06,13-18,桃園市,29
2007,06,13-18,屏東縣,10
2007,06,13-18,南投縣,7
2007,06,13-18,彰化縣,2
2007,06,13-18,宜蘭縣,9
2007,06,13-18,新北市,40
2007,06,13-18,新竹市,25
2007,06,13-18,新竹縣,8
2007,06,13-18,花蓮縣,2
2007,06,13-18,苗栗縣,6
2007,06,13-18,高雄市,52
2007,06,13-18,台北市,56
2007,06,13-18,台中市,43
2007,06,13-18,台南市,20
2007,06,13-18,台東縣,3
2007,06,13-18,雲林縣,3
2007,06,13-18,基隆市,6
2007,06,19-64,嘉義市,29
2007,06,19-64,嘉義縣,42
2007,06,19-64,桃園市,312
2007,06,19-64,屏東縣,117
2007,06,19-64,南投縣,76
2007,06,19-64,彰化縣,50
2007,06,19-64,宜蘭縣,63
2007,06,19-64,新北市,517
2007,06,19-64,新竹市,242
2007,06,19-64,新竹縣,100
2007,06,19-64,花蓮縣,35
2007,06,19-64,苗栗縣,65
2007,06,19-64,高雄市,565
2007,06,19-64,台北市,671
