確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
045a,2010,45,台北市,文山區,F,0,5~9,1,63000,63000080
045a,2010,45,台北市,文山區,F,0,5~9,1,63000,63000081
045a,2010,45,台北市,文山區,F,0,5~9,1,63000,63000082
045a,2010,48,台北市,大安區,F,0,2,1,63000,63000030
045a,2010,51,台中市,中區,M,0,5~9,1,66000,66000010
045a,2010,52,台中市,神岡區,M,0,4,1,66000,66000160
045a,2011,1,嘉義縣,民雄鄉,F,0,10~14,1,10010,10010050
045a,2011,2,彰化縣,大村鄉,M,0,5~9,1,10007,10007130
045a,2011,6,彰化縣,彰化市,F,0,10~14,1,10007,10007010
045a,2011,7,高雄市,鳳山區,M,0,5~9,1,64000,64000120
045a,2011,7,新北市,中和區,M,0,10~14,1,65000,65000030
045a,2011,7,台中市,沙鹿區,M,0,10~14,1,66000,66000130
045a,2011,8,高雄市,左營區,M,0,5~9,1,64000,64000030
045a,2011,9,新北市,三重區,M,0,10~14,1,65000,65000020
045a,2011,10,桃園市,平鎮區,M,0,10~14,1,68000,68000100
045a,2011,11,雲林縣,古坑鄉,M,0,4,1,10009,10009070
045a,2011,11,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2011,16,台南市,安南區,M,0,2,1,67000,67000350
045a,2011,17,台南市,安南區,M,0,5~9,1,67000,67000350
045a,2011,17,台南市,關廟區,F,0,10~14,1,67000,67000290
045a,2011,18,南投縣,草屯鎮,F,0,3,1,10008,10008030
045a,2011,19,台南市,善化區,M,0,5~9,1,67000,67000190
045a,2011,20,屏東縣,長治鄉,M,0,5~9,1,10013,10013060
045a,2011,21,嘉義市,東區,M,0,5~9,1,10020,10020010
045a,2011,22,桃園市,桃園區,M,0,10~14,1,68000,68000010
045a,2011,23,新北市,汐止區,M,0,10~14,1,65000,65000110
045a,2011,25,高雄市,鳥松區,M,0,5~9,1,64000,64000180
045a,2011,26,屏東縣,東港鎮,M,0,10~14,1,10013,10013030
045a,2011,26,澎湖縣,白沙鄉,F,0,1,1,10016,10016030
045a,2011,27,新北市,蘆洲區,M,0,1,1,65000,65000140
045a,2011,32,屏東縣,內埔鄉,M,0,5~9,1,10013,10013130
045a,2011,32,屏東縣,屏東市,F,0,5~9,1,10013,10013010
045a,2011,36,台南市,永康區,M,0,10~14,1,67000,67000310
045a,2011,38,高雄市,三民區,F,0,10~14,1,64000,64000050
045a,2011,38,高雄市,三民區,F,0,10~14,1,64000,64000051
045a,2011,38,高雄市,三民區,F,0,10~14,1,64000,64000052
045a,2011,39,台南市,關廟區,M,0,5~9,1,67000,67000290
045a,2011,40,台中市,北屯區,M,0,3,1,66000,66000080
045a,2011,42,雲林縣,北港鎮,F,0,5~9,1,10009,10009060
045a,2011,43,高雄市,楠梓區,F,0,10~14,1,64000,64000040
045a,2011,45,台南市,安南區,F,0,3,1,67000,67000350
045a,2011,45,桃園市,蘆竹區,F,0,5~9,1,68000,68000050
045a,2011,46,新北市,汐止區,M,0,2,1,65000,65000110
045a,2011,46,新北市,汐止區,M,0,5~9,1,65000,65000110
045a,2011,47,雲林縣,麥寮鄉,M,0,2,1,10009,10009130
045a,2011,47,澎湖縣,馬公市,F,0,4,1,10016,10016010
