縣市別,鄉鎮別,年別,治療成功率
9020,金寧鄉,2015,100
9020,金沙鎮,2014,80
9020,金城鎮,2014,100
9020,金湖鎮,2014,75
9020,金寧鄉,2014,50
9020,烈嶼鄉,2014,100
9020,金沙鎮,2013,66.7
9020,金城鎮,2013,85.7
9020,金湖鎮,2013,25
9020,金寧鄉,2013,50
9007,東引鄉,2021,100
9007,南竿鄉,2021,66.7
9007,北竿鄉,2020,100
9007,南竿鄉,2020,100
9007,南竿鄉,2019,100
9007,北竿鄉,2018,100
9007,南竿鄉,2018,100
9007,北竿鄉,2017,0
9007,南竿鄉,2017,100
9007,北竿鄉,2016,100
9007,南竿鄉,2016,100
9007,莒光鄉,2016,100
9007,南竿鄉,2015,100
9007,莒光鄉,2015,100
9007,東引鄉,2013,0
9007,南竿鄉,2013,100
9007,莒光鄉,2013,100
68000,八德區,2021,75
68000,大園區,2021,69.2
68000,大溪區,2021,79.3
68000,中壢區,2021,77.8
68000,平鎮區,2021,77.1
68000,桃園區,2021,73.4
68000,復興區,2021,44.4
68000,新屋區,2021,92.3
68000,楊梅區,2021,54.5
68000,龍潭區,2021,59.3
68000,龜山區,2021,75
68000,蘆竹區,2021,83.3
68000,觀音區,2021,66.7
68000,八德區,2020,67.3
68000,大園區,2020,68
68000,大溪區,2020,75
68000,中壢區,2020,62
68000,平鎮區,2020,69.1
68000,桃園區,2020,68.1
68000,復興區,2020,76.9
68000,新屋區,2020,58.3
68000,楊梅區,2020,70.3
68000,龍潭區,2020,73.3
68000,龜山區,2020,66.7
68000,蘆竹區,2020,78.6
68000,觀音區,2020,56.3
68000,八德區,2019,74.7
68000,大園區,2019,87.1
68000,大溪區,2019,83.8
68000,中壢區,2019,71.2
68000,平鎮區,2019,65
68000,桃園區,2019,78.2
68000,復興區,2019,62.5
68000,新屋區,2019,75
68000,楊梅區,2019,70.7
68000,龍潭區,2019,72.1
68000,龜山區,2019,59.3
68000,蘆竹區,2019,63.2
68000,觀音區,2019,75
68000,八德區,2018,74.7
68000,大園區,2018,88.9
68000,大溪區,2018,69.8
68000,中壢區,2018,69.7
68000,平鎮區,2018,68.3
68000,桃園區,2018,76.3
68000,復興區,2018,77.8
68000,新屋區,2018,57.1
68000,楊梅區,2018,68.3
68000,龍潭區,2018,63.8
68000,龜山區,2018,79.7
68000,蘆竹區,2018,85.3
68000,觀音區,2018,60.9
68000,八德區,2017,69
68000,大園區,2017,71.4
68000,大溪區,2017,78.4
68000,中壢區,2017,69.9
68000,平鎮區,2017,68.8
68000,桃園區,2017,80.2
68000,復興區,2017,66.7
68000,新屋區,2017,81.8
68000,楊梅區,2017,66
68000,龍潭區,2017,63.2
68000,龜山區,2017,71
68000,蘆竹區,2017,78.7
68000,觀音區,2017,86.4
68000,八德區,2016,64.1
68000,大園區,2016,77.4
68000,大溪區,2016,52
68000,中壢區,2016,66.9
68000,平鎮區,2016,80
68000,桃園區,2016,71.5
68000,復興區,2016,63.6
68000,新屋區,2016,88.2
68000,楊梅區,2016,75
68000,龍潭區,2016,58.3
68000,龜山區,2016,72.9
68000,蘆竹區,2016,74.4
68000,觀音區,2016,62.5
68000,八德區,2015,64
68000,大園區,2015,78.1
68000,大溪區,2015,61.1
68000,中壢區,2015,75.4
68000,平鎮區,2015,71.6
68000,桃園區,2015,74
68000,復興區,2015,66.7
68000,新屋區,2015,61.9
68000,楊梅區,2015,80.4
68000,龍潭區,2015,76.4
68000,龜山區,2015,83.8
68000,蘆竹區,2015,68.4
68000,觀音區,2015,81.3
68000,八德區,2014,69.1
68000,大園區,2014,73.2
68000,大溪區,2014,74.5
