年別,縣市別,MDR總人數,團隊照護中人數,未加入團隊人數,男性人數,女性人數,0-49歲人數,50-64歲人數,65歲以上人數,MDR-TB人數,XDR-TB人數
2015,10005,1,1,0,1,0,0,1,0,1,0
2015,10019,9,5,4,9,0,2,3,4,9,0
2015,10008,8,6,2,7,1,3,2,3,8,0
2015,10007,8,6,2,6,2,1,3,4,8,0
2015,10009,7,5,2,6,1,3,1,3,7,0
2015,10010,1,0,1,1,0,0,1,0,1,0
2015,10020,1,1,0,0,1,0,0,1,1,0
2015,10021,9,7,2,5,4,3,1,5,9,0
2015,64000,13,12,1,9,4,4,7,2,13,0
2015,10013,9,8,1,6,3,1,1,7,9,0
2015,10015,10,9,1,7,3,5,2,3,10,0
2015,10014,4,3,1,4,0,1,2,1,4,0
2015,-,117,95,22,87,30,40,36,41,117,0
2014,63000,2,2,0,1,1,1,0,1,2,0
2014,65000,15,10,5,13,2,0,7,8,15,0
2014,10002,7,7,0,5,2,1,3,3,7,0
2014,10017,4,4,0,2,2,3,1,0,4,0
2014,68000,7,7,0,2,5,3,3,1,7,0
2014,10004,3,3,0,3,0,1,1,1,3,0
2014,10018,2,2,0,2,0,1,0,1,2,0
2014,10005,1,1,0,1,0,1,0,0,1,0
2014,10019,10,10,0,9,1,3,3,4,10,0
2014,10008,4,3,1,2,2,1,0,3,4,0
2014,10007,10,8,2,8,2,1,3,6,10,0
2014,10009,4,4,0,3,1,0,3,1,4,0
2014,10010,4,3,1,1,3,1,1,2,4,0
2014,10020,2,1,1,2,0,1,1,0,2,0
2014,10021,8,6,2,5,3,4,1,3,8,0
2014,64000,13,12,1,11,2,3,4,6,13,0
2014,10013,8,6,2,6,2,0,6,2,8,0
2014,10015,7,6,1,5,2,3,2,2,7,0
2014,10014,1,1,0,1,0,0,1,0,1,0
2014,-,112,96,16,82,30,28,40,44,112,0
2013,63000,12,12,0,5,7,6,3,3,12,0
2013,65000,20,15,5,16,4,3,7,10,20,0
2013,10002,4,4,0,3,1,2,2,0,4,0
2013,10017,3,3,0,2,1,2,1,0,3,0
2013,68000,12,11,1,9,3,5,5,2,12,0
2013,10004,1,1,0,0,1,1,0,0,1,0
2013,10005,2,2,0,2,0,0,2,0,2,0
2013,10019,8,8,0,5,3,4,2,2,8,0
2013,10008,5,3,2,4,1,0,1,4,5,0
2013,10007,3,3,0,1,2,2,0,1,3,0
2013,10009,3,3,0,3,0,0,2,1,3,0
2013,10010,1,1,0,0,1,0,1,0,1,0
2013,10020,5,4,1,4,1,0,4,1,5,0
2013,10021,12,10,2,11,1,6,5,1,12,0
2013,64000,19,15,4,15,4,5,7,7,19,0
2013,10013,4,2,2,4,0,2,2,0,4,0
2013,10016,1,0,1,1,0,1,0,0,1,0
2013,10015,7,7,0,7,0,3,3,1,7,0
2013,10014,7,6,1,5,2,4,2,1,7,0
2013,-,129,110,19,97,32,46,49,34,129,0
2012,63000,11,10,1,10,1,2,4,5,11,0
2012,65000,16,15,1,14,2,8,3,5,16,0
2012,10002,1,1,0,1,0,0,1,0,1,0
2012,10017,6,3,3,5,1,1,3,2,6,0
2012,68000,10,7,3,7,3,4,5,1,10,0
2012,10004,3,3,0,2,1,1,1,1,3,0
2012,10019,14,13,1,12,2,7,1,6,14,0
2012,10008,5,5,0,4,1,2,3,0,5,0
2012,10007,6,5,1,5,1,1,3,2,6,0
