確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2025,21,台北市,南港區,F,0,70+,1,63000,63000090
19SC,2025,21,台北市,萬華區,F,1,70+,1,63000,63000070
19SC,2025,21,高雄市,三民區,M,0,55~59,1,64000,64000050
19SC,2025,21,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025,21,新北市,三峽區,M,0,70+,1,65000,65000090
19SC,2025,21,新北市,三重區,F,0,55~59,1,65000,65000020
19SC,2025,21,新北市,中和區,F,0,70+,1,65000,65000030
19SC,2025,21,台中市,北屯區,F,0,70+,1,66000,66000080
19SC,2025,21,台中市,北屯區,M,0,70+,1,66000,66000080
19SC,2025,21,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2025,21,台南市,南區,M,0,70+,1,67000,67000330
19SC,2025,22,金門縣,金沙鎮,F,0,65~69,1,09020,09020020
19SC,2025,22,彰化縣,員林市,F,0,70+,1,10007,10007100
19SC,2025,22,彰化縣,福興鄉,F,0,65~69,1,10007,10007060
19SC,2025,22,彰化縣,秀水鄉,F,0,70+,1,10007,10007070
19SC,2025,22,南投縣,竹山鎮,M,0,70+,1,10008,10008040
19SC,2025,22,嘉義縣,中埔鄉,M,0,70+,1,10010,10010130
19SC,2025,22,基隆市,七堵區,F,0,70+,1,10017,10017020
19SC,2025,22,台北市,中正區,M,0,70+,1,63000,63000050
19SC,2025,22,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2025,22,台北市,北投區,F,0,70+,1,63000,63000120
19SC,2025,22,高雄市,小港區,F,0,70+,1,64000,64000110
19SC,2025,22,高雄市,新興區,M,0,70+,1,64000,64000060
19SC,2025,22,高雄市,那瑪夏區,F,0,70+,1,64000,64000380
19SC,2025,22,高雄市,鹽埕區,F,0,70+,1,64000,64000010
19SC,2025,22,新北市,新店區,F,1,65~69,1,65000,65000060
19SC,2025,22,新北市,汐止區,F,0,70+,1,65000,65000110
19SC,2025,22,台中市,北區,F,0,65~69,1,66000,66000050
19SC,2025,22,台中市,北區,F,0,70+,1,66000,66000050
19SC,2025,22,台南市,安南區,M,0,60~64,1,67000,67000350
19SC,2025,22,台南市,麻豆區,M,0,70+,1,67000,67000070
19SC,2025,22,桃園市,中壢區,M,0,70+,2,68000,68000020
19SC,2025,22,桃園市,大園區,M,0,70+,1,68000,68000060
