確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
006,2022,3,台中市,北屯區,M,0,30~34,1,66000,66000080
006,2022,3,台中市,潭子區,M,0,40~44,1,66000,66000170
006,2022,3,桃園市,蘆竹區,M,0,30~34,1,68000,68000050
006,2022,4,高雄市,大社區,M,0,40~44,1,64000,64000160
006,2022,4,高雄市,鳳山區,F,1,20~24,1,64000,64000120
006,2022,4,新北市,中和區,M,0,35~39,1,65000,65000030
006,2022,4,新北市,新莊區,F,0,70+,1,65000,65000050
006,2022,4,台中市,清水區,M,1,35~39,1,66000,66000120
006,2022,4,台中市,清水區,M,0,40~44,1,66000,66000120
006,2022,5,台北市,信義區,M,0,35~39,1,63000,63000020
006,2022,6,台東縣,台東市,M,0,50~54,1,10014,10014010
006,2022,6,台北市,文山區,M,0,40~44,1,63000,63000080
006,2022,6,新北市,新莊區,M,0,30~34,1,65000,65000050
006,2022,7,新竹縣,竹東鎮,M,0,35~39,1,10004,10004020
006,2022,7,澎湖縣,西嶼鄉,M,1,35~39,1,10016,10016040
006,2022,7,台北市,中正區,M,0,55~59,1,63000,63000050
006,2022,7,台北市,松山區,M,0,45~49,1,63000,63000010
006,2022,7,新北市,板橋區,F,0,10~14,1,65000,65000010
006,2022,7,新北市,萬里區,M,0,30~34,1,65000,65000280
006,2022,7,台南市,東區,F,0,70+,1,67000,67000320
006,2022,8,嘉義縣,朴子市,F,1,35~39,1,10010,10010020
006,2022,8,台中市,北屯區,F,1,35~39,1,66000,66000080
006,2022,8,台南市,楠西區,M,0,20~24,1,67000,67000240
006,2022,9,新竹縣,芎林鄉,M,0,30~34,1,10004,10004070
006,2022,9,台北市,松山區,F,0,45~49,1,63000,63000010
006,2022,9,高雄市,楠梓區,F,1,30~34,1,64000,64000040
006,2022,9,新北市,中和區,M,0,45~49,1,65000,65000030
006,2022,10,宜蘭縣,羅東鎮,F,0,45~49,1,10002,10002020
006,2022,10,台北市,萬華區,M,1,30~34,1,63000,63000070
006,2022,10,新北市,林口區,M,0,55~59,1,65000,65000170
006,2022,11,彰化縣,鹿港鎮,M,1,25~29,1,10007,10007020
006,2022,11,高雄市,鳳山區,M,0,35~39,1,64000,64000120
006,2022,11,台中市,大雅區,M,1,20~24,1,66000,66000180
006,2022,12,新北市,樹林區,M,0,45~49,1,65000,65000070
006,2022,12,新北市,淡水區,M,0,30~34,1,65000,65000100
006,2022,13,彰化縣,鹿港鎮,M,1,20~24,1,10007,10007020
006,2022,13,新竹市,東區,M,0,45~49,1,10018,10018010
006,2022,13,高雄市,大寮區,M,0,30~34,1,64000,64000140
006,2022,13,新北市,三重區,M,0,70+,1,65000,65000020
006,2022,13,台中市,大雅區,F,1,40~44,1,66000,66000180
006,2022,14,彰化縣,大村鄉,M,1,30~34,1,10007,10007130
006,2022,14,台東縣,長濱鄉,F,0,30~34,1,10014,10014080
006,2022,15,南投縣,草屯鎮,M,1,20~24,1,10008,10008030
006,2022,15,台北市,文山區,F,0,50~54,1,63000,63000080
006,2022,15,新北市,中和區,M,0,30~34,1,65000,65000030
006,2022,15,新北市,板橋區,F,1,35~39,1,65000,65000010
006,2022,16,新竹縣,竹東鎮,M,0,70+,1,10004,10004020
006,2022,16,屏東縣,潮州鎮,F,0,25~29,1,10013,10013020
006,2022,16,台北市,松山區,M,0,45~49,1,63000,63000010
006,2022,16,高雄市,鳳山區,M,0,40~44,1,64000,64000120
006,2022,16,台中市,神岡區,M,1,40~44,1,66000,66000160
006,2022,17,金門縣,金沙鎮,M,0,55~59,1,09020,09020020
006,2022,17,台北市,北投區,M,0,40~44,1,63000,63000120
006,2022,17,台中市,后里區,F,1,20~24,1,66000,66000150
006,2022,18,宜蘭縣,大同鄉,F,1,40~44,1,10002,10002110
006,2022,18,新北市,新莊區,M,0,60~64,1,65000,65000050
006,2022,18,台中市,太平區,M,1,25~29,1,66000,66000270
006,2022,18,台中市,東區,F,1,25~29,1,66000,66000020
006,2022,18,台中市,西區,F,1,25~29,1,66000,66000040
006,2022,19,彰化縣,和美鎮,F,1,35~39,1,10007,10007030
006,2022,19,台中市,北屯區,F,1,30~34,1,66000,66000080
006,2022,19,台中市,南屯區,M,0,40~44,1,66000,66000070
006,2022,19,台中市,梧棲區,M,1,20~24,1,66000,66000140
006,2022,20,高雄市,小港區,M,0,40~44,1,64000,64000110
006,2022,21,嘉義縣,民雄鄉,M,0,45~49,1,10010,10010050
006,2022,21,新北市,樹林區,F,1,35~39,1,65000,65000070
006,2022,21,台中市,大甲區,F,1,45~49,1,66000,66000110
006,2022,21,台南市,新營區,F,1,20~24,1,67000,67000010
006,2022,21,桃園市,桃園區,M,0,45~49,1,68000,68000010
006,2022,22,高雄市,楠梓區,F,1,25~29,1,64000,64000040
006,2022,22,台中市,東區,M,1,20~24,1,66000,66000020
006,2022,22,桃園市,中壢區,M,0,45~49,1,68000,68000020
006,2022,23,屏東縣,潮州鎮,F,0,25~29,1,10013,10013020
006,2022,24,台北市,信義區,M,0,60~64,1,63000,63000020
006,2022,24,新北市,蘆洲區,M,1,20~24,1,65000,65000140
006,2022,24,台中市,東區,M,0,55~59,1,66000,66000020
006,2022,24,台南市,北區,M,0,35~39,1,67000,67000340
006,2022,25,台中市,大雅區,M,1,20~24,1,66000,66000180
006,2022,25,台南市,麻豆區,M,0,45~49,1,67000,67000070
006,2022,26,宜蘭縣,羅東鎮,M,1,30~34,1,10002,10002020
006,2022,26,彰化縣,北斗鎮,M,1,20~24,1,10007,10007190
006,2022,26,屏東縣,屏東市,M,0,40~44,1,10013,10013010
006,2022,26,新竹市,東區,M,0,40~44,1,10018,10018010
006,2022,26,台北市,文山區,M,0,35~39,1,63000,63000080
006,2022,26,高雄市,鼓山區,M,0,60~64,1,64000,64000020
006,2022,26,新北市,鶯歌區,M,1,35~39,1,65000,65000080
006,2022,26,台南市,北區,M,1,30~34,1,67000,67000340
006,2022,27,宜蘭縣,羅東鎮,M,0,40~44,1,10002,10002020
006,2022,27,彰化縣,鹿港鎮,M,1,20~24,1,10007,10007020
006,2022,27,澎湖縣,西嶼鄉,F,0,55~59,1,10016,10016040
006,2022,27,新北市,鶯歌區,M,0,50~54,1,65000,65000080
006,2022,27,台南市,永康區,F,0,35~39,1,67000,67000310
006,2022,28,雲林縣,斗六市,F,1,20~24,1,10009,10009010
006,2022,28,新北市,深坑區,M,0,30~34,1,65000,65000180
006,2022,29,屏東縣,長治鄉,M,0,20~24,1,10013,10013060
006,2022,29,台北市,萬華區,M,0,25~29,1,63000,63000070
006,2022,29,高雄市,鳥松區,M,0,40~44,1,64000,64000180
006,2022,29,高雄市,鳳山區,M,0,40~44,1,64000,64000120
006,2022,29,高雄市,鳳山區,M,0,60~64,1,64000,64000120
006,2022,29,新北市,三重區,M,0,35~39,1,65000,65000020
006,2022,29,台中市,南屯區,M,1,30~34,1,66000,66000070
006,2022,29,台中市,東區,M,0,40~44,1,66000,66000020
006,2022,30,苗栗縣,造橋鄉,M,0,20~24,1,10005,10005150
006,2022,30,台北市,士林區,M,0,65~69,1,63000,63000110
