年,週,就診類別,年齡別,縣市,腹瀉健保就診人次,健保就診總人次,縣市別代碼
2016,01,門診,25~64,雲林縣,1312,65096,10009
2016,01,門診,25~64,嘉義縣,767,35904,10010
2016,01,門診,25~64,屏東縣,1527,78079,10013
2016,01,門診,25~64,台東縣,294,18610,10014
2016,01,門診,25~64,花蓮縣,437,35077,10015
2016,01,門診,25~64,澎湖縣,203,12126,10016
2016,01,門診,25~64,基隆市,1061,42074,10017
2016,01,門診,25~64,新竹市,1132,59281,10018
2016,01,門診,25~64,嘉義市,918,44973,10020
2016,01,門診,25~64,台北市,6090,342593,63000
2016,01,門診,25~64,高雄市,7016,309141,64000
2016,01,門診,25~64,新北市,11122,399323,65000
2016,01,門診,25~64,台中市,7232,316757,66000
2016,01,門診,25~64,台南市,4596,201124,67000
2016,01,門診,25~64,桃園市,3948,201816,68000
2016,01,門診,3~6,連江縣,0,45,09007
2016,01,門診,3~6,金門縣,34,832,09020
2016,01,門診,3~6,宜蘭縣,200,4648,10002
2016,01,門診,3~6,新竹縣,299,6557,10004
2016,01,門診,3~6,苗栗縣,246,5868,10005
2016,01,門診,3~6,彰化縣,613,15319,10007
2016,01,門診,3~6,南投縣,202,5476,10008
2016,01,門診,3~6,雲林縣,239,7416,10009
2016,01,門診,3~6,嘉義縣,142,3111,10010
2016,01,門診,3~6,屏東縣,352,8590,10013
2016,01,門診,3~6,台東縣,43,1496,10014
2016,01,門診,3~6,花蓮縣,119,3272,10015
2016,01,門診,3~6,澎湖縣,47,954,10016
2016,01,門診,3~6,基隆市,196,3728,10017
2016,01,門診,3~6,新竹市,345,7432,10018
2016,01,門診,3~6,嘉義市,244,4931,10020
2016,01,門診,3~6,台北市,921,24344,63000
2016,01,門診,3~6,高雄市,1272,30108,64000
2016,01,門診,3~6,新北市,2190,48734,65000
2016,01,門診,3~6,台中市,1619,37780,66000
2016,01,門診,3~6,台南市,1078,21674,67000
2016,01,門診,3~6,桃園市,959,23539,68000
2016,01,門診,65+,連江縣,5,283,09007
2016,01,門診,65+,金門縣,23,3814,09020
2016,01,門診,65+,宜蘭縣,214,22630,10002
2016,01,門診,65+,新竹縣,221,14001,10004
2016,01,門診,65+,苗栗縣,305,26066,10005
2016,01,門診,65+,彰化縣,797,65633,10007
2016,01,門診,65+,南投縣,277,25576,10008
2016,01,門診,65+,雲林縣,513,40585,10009
2016,01,門診,65+,嘉義縣,354,29063,10010
2016,01,門診,65+,屏東縣,581,50312,10013
2016,01,門診,65+,台東縣,154,11982,10014
2016,01,門診,65+,花蓮縣,148,20059,10015
2016,01,門診,65+,澎湖縣,94,8157,10016
2016,01,門診,65+,基隆市,347,22157,10017
2016,01,門診,65+,新竹市,226,21641,10018
2016,01,門診,65+,嘉義市,218,22147,10020
2016,01,門診,65+,台北市,1614,183748,63000
2016,01,門診,65+,高雄市,2035,149345,64000
2016,01,門診,65+,新北市,2133,133729,65000
2016,01,門診,65+,台中市,1679,123869,66000
2016,01,門診,65+,台南市,1217,93023,67000
2016,01,門診,65+,桃園市,791,73592,68000
2016,01,門診,7~12,連江縣,1,35,09007
2016,01,門診,7~12,金門縣,31,912,09020
2016,01,門診,7~12,宜蘭縣,140,4048,10002
2016,01,門診,7~12,新竹縣,293,5773,10004
2016,01,門診,7~12,苗栗縣,208,4707,10005
2016,01,門診,7~12,彰化縣,498,13725,10007
2016,01,門診,7~12,南投縣,216,5036,10008
2016,01,門診,7~12,雲林縣,260,6770,10009
2016,01,門診,7~12,嘉義縣,156,3375,10010
2016,01,門診,7~12,屏東縣,267,7680,10013
2016,01,門診,7~12,台東縣,51,1416,10014
2016,01,門診,7~12,花蓮縣,106,2658,10015
2016,01,門診,7~12,澎湖縣,26,1107,10016
2016,01,門診,7~12,基隆市,153,3377,10017
2016,01,門診,7~12,新竹市,261,6312,10018
2016,01,門診,7~12,嘉義市,174,4250,10020
2016,01,門診,7~12,台北市,745,22561,63000
2016,01,門診,7~12,高雄市,1175,27302,64000
2016,01,門診,7~12,新北市,1930,42002,65000
2016,01,門診,7~12,台中市,1393,32129,66000
2016,01,門診,7~12,台南市,875,19298,67000
2016,01,門診,7~12,桃園市,800,21455,68000
2016,01,門診,不詳,連江縣,0,1,09007
2016,01,門診,不詳,金門縣,0,1,09020
2016,01,門診,不詳,彰化縣,0,9,10007
2016,01,門診,不詳,嘉義縣,0,1,10010
2016,01,門診,不詳,基隆市,0,1,10017
2016,01,門診,不詳,新竹市,0,1,10018
2016,01,門診,不詳,台北市,0,21,63000
2016,01,門診,不詳,新北市,0,5,65000
2016,01,門診,不詳,台中市,0,10,66000
2016,01,門診,不詳,台南市,0,3,67000
2016,01,門診,不詳,桃園市,0,8,68000
2016,02,住院,0~2,金門縣,0,1,09020
2016,02,住院,0~2,宜蘭縣,1,41,10002
2016,02,住院,0~2,新竹縣,0,1,10004
2016,02,住院,0~2,苗栗縣,0,6,10005
2016,02,住院,0~2,彰化縣,12,78,10007
2016,02,住院,0~2,南投縣,0,2,10008
2016,02,住院,0~2,雲林縣,0,9,10009
2016,02,住院,0~2,嘉義縣,0,8,10010
2016,02,住院,0~2,屏東縣,3,8,10013
2016,02,住院,0~2,台東縣,0,1,10014
2016,02,住院,0~2,花蓮縣,0,6,10015
2016,02,住院,0~2,基隆市,1,11,10017
2016,02,住院,0~2,新竹市,4,29,10018
2016,02,住院,0~2,嘉義市,0,1,10020
2016,02,住院,0~2,台北市,18,152,63000
2016,02,住院,0~2,高雄市,5,46,64000
2016,02,住院,0~2,新北市,4,38,65000
2016,02,住院,0~2,台中市,14,124,66000
2016,02,住院,0~2,台南市,1,25,67000
2016,02,住院,0~2,桃園市,4,43,68000
2016,02,住院,13~15,宜蘭縣,0,8,10002
2016,02,住院,13~15,新竹縣,0,1,10004
2016,02,住院,13~15,苗栗縣,0,6,10005
2016,02,住院,13~15,彰化縣,3,11,10007
2016,02,住院,13~15,南投縣,0,1,10008
2016,02,住院,13~15,雲林縣,0,8,10009
2016,02,住院,13~15,嘉義縣,0,1,10010
2016,02,住院,13~15,屏東縣,0,1,10013
2016,02,住院,13~15,花蓮縣,0,2,10015
2016,02,住院,13~15,基隆市,0,6,10017
2016,02,住院,13~15,新竹市,0,4,10018
2016,02,住院,13~15,嘉義市,0,1,10020
2016,02,住院,13~15,台北市,4,42,63000
2016,02,住院,13~15,高雄市,0,14,64000
2016,02,住院,13~15,新北市,0,12,65000
2016,02,住院,13~15,台中市,2,26,66000
2016,02,住院,13~15,台南市,0,5,67000
2016,02,住院,13~15,桃園市,0,11,68000
2016,02,住院,16~18,宜蘭縣,0,9,10002
2016,02,住院,16~18,新竹縣,0,2,10004
2016,02,住院,16~18,苗栗縣,3,8,10005
2016,02,住院,16~18,彰化縣,5,22,10007
2016,02,住院,16~18,南投縣,0,2,10008
2016,02,住院,16~18,雲林縣,0,6,10009
2016,02,住院,16~18,嘉義縣,1,2,10010
2016,02,住院,16~18,屏東縣,0,3,10013
2016,02,住院,16~18,花蓮縣,0,1,10015
2016,02,住院,16~18,基隆市,0,5,10017
2016,02,住院,16~18,新竹市,1,6,10018
2016,02,住院,16~18,台北市,3,58,63000
2016,02,住院,16~18,高雄市,2,21,64000
2016,02,住院,16~18,新北市,0,11,65000
2016,02,住院,16~18,台中市,2,31,66000
2016,02,住院,16~18,台南市,0,5,67000
2016,02,住院,16~18,桃園市,1,18,68000
2016,02,住院,19~24,宜蘭縣,0,16,10002
2016,02,住院,19~24,新竹縣,0,7,10004
2016,02,住院,19~24,苗栗縣,0,15,10005
2016,02,住院,19~24,彰化縣,6,61,10007
2016,02,住院,19~24,南投縣,0,12,10008
2016,02,住院,19~24,雲林縣,0,22,10009
2016,02,住院,19~24,嘉義縣,0,10,10010
2016,02,住院,19~24,屏東縣,0,15,10013
2016,02,住院,19~24,花蓮縣,0,21,10015
2016,02,住院,19~24,基隆市,0,6,10017
2016,02,住院,19~24,新竹市,2,33,10018
2016,02,住院,19~24,嘉義市,0,7,10020
2016,02,住院,19~24,台北市,6,215,63000
2016,02,住院,19~24,高雄市,3,93,64000
2016,02,住院,19~24,新北市,1,57,65000
2016,02,住院,19~24,台中市,3,136,66000
2016,02,住院,19~24,台南市,1,54,67000
2016,02,住院,19~24,桃園市,0,61,68000
2016,02,住院,25~64,金門縣,2,15,09020
2016,02,住院,25~64,宜蘭縣,0,276,10002
2016,02,住院,25~64,新竹縣,1,61,10004
2016,02,住院,25~64,苗栗縣,3,229,10005
2016,02,住院,25~64,彰化縣,9,929,10007
2016,02,住院,25~64,南投縣,0,118,10008
2016,02,住院,25~64,雲林縣,4,268,10009
2016,02,住院,25~64,嘉義縣,1,163,10010
2016,02,住院,25~64,屏東縣,2,210,10013
2016,02,住院,25~64,台東縣,0,8,10014
2016,02,住院,25~64,花蓮縣,1,149,10015
2016,02,住院,25~64,澎湖縣,0,2,10016
2016,02,住院,25~64,基隆市,2,158,10017
2016,02,住院,25~64,新竹市,1,511,10018
2016,02,住院,25~64,嘉義市,0,83,10020
2016,02,住院,25~64,台北市,21,4087,63000
2016,02,住院,25~64,高雄市,18,1462,64000
2016,02,住院,25~64,新北市,6,955,65000
2016,02,住院,25~64,台中市,14,1726,66000
2016,02,住院,25~64,台南市,7,1214,67000
2016,02,住院,25~64,桃園市,3,1032,68000
2016,02,住院,3~6,金門縣,0,1,09020
2016,02,住院,3~6,宜蘭縣,0,59,10002
2016,02,住院,3~6,新竹縣,0,5,10004
2016,02,住院,3~6,苗栗縣,0,11,10005
2016,02,住院,3~6,彰化縣,25,89,10007
2016,02,住院,3~6,南投縣,0,9,10008
2016,02,住院,3~6,雲林縣,0,6,10009
2016,02,住院,3~6,嘉義縣,1,6,10010
2016,02,住院,3~6,屏東縣,0,9,10013
2016,02,住院,3~6,花蓮縣,0,4,10015
2016,02,住院,3~6,基隆市,4,13,10017
2016,02,住院,3~6,新竹市,0,26,10018
2016,02,住院,3~6,嘉義市,0,3,10020
2016,02,住院,3~6,台北市,14,171,63000
2016,02,住院,3~6,高雄市,4,56,64000
2016,02,住院,3~6,新北市,1,42,65000
2016,02,住院,3~6,台中市,17,106,66000
2016,02,住院,3~6,台南市,0,15,67000
2016,02,住院,3~6,桃園市,5,57,68000
2016,02,住院,65+,金門縣,0,9,09020
2016,02,住院,65+,宜蘭縣,0,250,10002
2016,02,住院,65+,新竹縣,1,44,10004
2016,02,住院,65+,苗栗縣,3,236,10005
2016,02,住院,65+,彰化縣,14,676,10007
2016,02,住院,65+,南投縣,1,116,10008
2016,02,住院,65+,雲林縣,5,282,10009
2016,02,住院,65+,嘉義縣,0,165,10010
2016,02,住院,65+,屏東縣,1,123,10013
2016,02,住院,65+,台東縣,0,3,10014
2016,02,住院,65+,花蓮縣,1,96,10015
2016,02,住院,65+,澎湖縣,0,1,10016
2016,02,住院,65+,基隆市,0,132,10017
2016,02,住院,65+,新竹市,2,299,10018
2016,02,住院,65+,嘉義市,0,24,10020
2016,02,住院,65+,台北市,15,2902,63000
2016,02,住院,65+,高雄市,6,838,64000
2016,02,住院,65+,新北市,3,509,65000
2016,02,住院,65+,台中市,13,1136,66000
2016,02,住院,65+,台南市,2,724,67000
2016,02,住院,65+,桃園市,7,610,68000
2016,02,住院,7~12,宜蘭縣,2,28,10002
2016,02,住院,7~12,新竹縣,0,3,10004
2016,02,住院,7~12,苗栗縣,0,12,10005
2016,02,住院,7~12,彰化縣,11,44,10007
2016,02,住院,7~12,南投縣,1,3,10008
2016,02,住院,7~12,雲林縣,1,7,10009
2016,02,住院,7~12,嘉義縣,0,4,10010
2016,02,住院,7~12,屏東縣,0,1,10013
