年,週,年齡別,縣市,類流感急診就診人次,縣市別代碼
2007,05,19~64,台北市,594,63000
2007,05,19~64,台中市,707,66000
2007,05,19~64,台南市,246,67000
2007,05,19~64,台東縣,34,10014
2007,05,19~64,雲林縣,76,10009
2007,05,19~64,基隆市,39,10017
2007,05,65+,嘉義市,9,10020
2007,05,65+,嘉義縣,17,10010
2007,05,65+,桃園市,121,68000
2007,05,65+,屏東縣,62,10013
2007,05,65+,南投縣,43,10008
2007,05,65+,彰化縣,82,10007
2007,05,65+,宜蘭縣,42,10002
2007,05,65+,新北市,111,65000
2007,05,65+,新竹市,46,10018
2007,05,65+,新竹縣,25,10004
2007,05,65+,花蓮縣,37,10015
2007,05,65+,苗栗縣,32,10005
2007,05,65+,高雄市,195,64000
2007,05,65+,台北市,205,63000
2007,05,65+,台中市,206,66000
2007,05,65+,台南市,124,67000
2007,05,65+,台東縣,10,10014
2007,05,65+,雲林縣,31,10009
2007,05,65+,基隆市,16,10017
2007,05,7~12,嘉義市,21,10020
2007,05,7~12,嘉義縣,5,10010
2007,05,7~12,桃園市,65,68000
2007,05,7~12,屏東縣,45,10013
2007,05,7~12,南投縣,29,10008
2007,05,7~12,彰化縣,57,10007
2007,05,7~12,宜蘭縣,17,10002
2007,05,7~12,新北市,112,65000
2007,05,7~12,新竹市,35,10018
2007,05,7~12,新竹縣,33,10004
2007,05,7~12,花蓮縣,33,10015
2007,05,7~12,苗栗縣,25,10005
2007,05,7~12,高雄市,204,64000
2007,05,7~12,台北市,149,63000
2007,05,7~12,台中市,152,66000
2007,05,7~12,台南市,108,67000
2007,05,7~12,台東縣,22,10014
2007,05,7~12,雲林縣,62,10009
2007,05,7~12,基隆市,15,10017
2007,06,0~6,嘉義市,51,10020
2007,06,0~6,嘉義縣,56,10010
2007,06,0~6,桃園市,305,68000
2007,06,0~6,屏東縣,190,10013
2007,06,0~6,南投縣,91,10008
2007,06,0~6,彰化縣,107,10007
2007,06,0~6,宜蘭縣,67,10002
2007,06,0~6,新北市,313,65000
2007,06,0~6,新竹市,192,10018
2007,06,0~6,新竹縣,63,10004
2007,06,0~6,花蓮縣,39,10015
2007,06,0~6,苗栗縣,39,10005
2007,06,0~6,高雄市,562,64000
2007,06,0~6,台北市,580,63000
2007,06,0~6,台中市,348,66000
2007,06,0~6,台南市,265,67000
2007,06,0~6,台東縣,49,10014
2007,06,0~6,雲林縣,101,10009
2007,06,0~6,基隆市,44,10017
2007,06,13~18,嘉義市,5,10020
2007,06,13~18,嘉義縣,15,10010
2007,06,13~18,桃園市,43,68000
2007,06,13~18,屏東縣,30,10013
2007,06,13~18,南投縣,27,10008
2007,06,13~18,彰化縣,14,10007
2007,06,13~18,宜蘭縣,8,10002
2007,06,13~18,新北市,66,65000
2007,06,13~18,新竹市,40,10018
2007,06,13~18,新竹縣,12,10004
2007,06,13~18,花蓮縣,9,10015
2007,06,13~18,苗栗縣,37,10005
2007,06,13~18,高雄市,90,64000
2007,06,13~18,台北市,66,63000
2007,06,13~18,台中市,74,66000
2007,06,13~18,台南市,49,67000
2007,06,13~18,台東縣,5,10014
2007,06,13~18,雲林縣,18,10009
2007,06,13~18,基隆市,5,10017
2007,06,19~64,嘉義市,29,10020
2007,06,19~64,嘉義縣,55,10010
2007,06,19~64,桃園市,351,68000
2007,06,19~64,屏東縣,191,10013
2007,06,19~64,南投縣,110,10008
2007,06,19~64,彰化縣,97,10007
2007,06,19~64,宜蘭縣,78,10002
2007,06,19~64,新北市,542,65000
2007,06,19~64,新竹市,295,10018
2007,06,19~64,新竹縣,109,10004
2007,06,19~64,花蓮縣,66,10015
2007,06,19~64,苗栗縣,105,10005
2007,06,19~64,高雄市,597,64000
2007,06,19~64,台北市,656,63000
2007,06,19~64,台中市,614,66000
2007,06,19~64,台南市,206,67000
2007,06,19~64,台東縣,26,10014
2007,06,19~64,雲林縣,68,10009
2007,06,19~64,基隆市,24,10017
2007,06,65+,嘉義市,7,10020
2007,06,65+,嘉義縣,28,10010
2007,06,65+,桃園市,167,68000
2007,06,65+,屏東縣,79,10013
2007,06,65+,南投縣,54,10008
2007,06,65+,彰化縣,60,10007
2007,06,65+,宜蘭縣,49,10002
2007,06,65+,新北市,153,65000
2007,06,65+,新竹市,79,10018
2007,06,65+,新竹縣,20,10004
2007,06,65+,花蓮縣,39,10015
2007,06,65+,苗栗縣,42,10005
2007,06,65+,高雄市,192,64000
2007,06,65+,台北市,203,63000
2007,06,65+,台中市,216,66000
2007,06,65+,台南市,81,67000
2007,06,65+,台東縣,10,10014
2007,06,65+,雲林縣,29,10009
2007,06,65+,基隆市,12,10017
2007,06,7~12,嘉義市,13,10020
2007,06,7~12,嘉義縣,6,10010
2007,06,7~12,桃園市,51,68000
2007,06,7~12,屏東縣,45,10013
2007,06,7~12,南投縣,19,10008
2007,06,7~12,彰化縣,18,10007
2007,06,7~12,宜蘭縣,11,10002
2007,06,7~12,新北市,62,65000
2007,06,7~12,新竹市,29,10018
2007,06,7~12,新竹縣,21,10004
